census_tract,assoc_degree,bach_degree,grad_or_pro_degree,hs_diploma_or_ged,less_than_9th,some_college,some_hs
61000,0.25%,37.70%,23.10%,3.15%,0,9.78%,0.00%
61100,2.45%,38.60%,18.30%,0.77%,0,6.37%,0.00%
61200,1.24%,46.80%,22.50%,0.62%,0,4.91%,0.00%
61500,3.27%,38.00%,27.80%,2.26%,0.0036,7.71%,0.00%
61800,4.20%,33.60%,17.10%,5.63%,0.0071,8.22%,0.98%
61901,1.62%,36.70%,34.20%,2.94%,0,5.75%,0.43%
61902,4.08%,33.60%,21.60%,3.49%,0,6.71%,0.00%
62000,2.41%,43.30%,22.70%,5.62%,0.0004,5.73%,0.60%
62100,3.08%,35.60%,20.90%,3.36%,0,7.03%,0.69%
62200,0.90%,43.90%,21.60%,5.67%,0,4.65%,0.67%
62300,1.60%,42.80%,32.20%,3.04%,0,4.27%,0.43%
62400,1.09%,45.60%,34.00%,2.02%,0.005,1.43%,0.84%
62500,2.48%,45.80%,32.60%,0.91%,0,2.63%,0.00%
62600,1.71%,38.90%,37.60%,1.64%,0.0106,5.37%,0.24%
62700,2.29%,32.90%,27.20%,1.88%,0.0211,10.10%,0.00%
62800,1.02%,49.00%,28.70%,2.34%,0.0033,3.26%,0.85%
62900,1.70%,44.90%,22.80%,2.41%,0.0023,6.09%,0.00%
63000,3.10%,46.90%,31.90%,1.44%,0,3.97%,0.25%
63100,2.08%,39.50%,28.90%,4.34%,0,4.73%,0.14%
63200,2.91%,32.40%,24.90%,3.29%,0,7.88%,1.26%
63301,2.33%,30.80%,17.30%,2.81%,0.0096,7.84%,0.00%
63302,1.80%,36.60%,24.70%,2.56%,0,3.37%,0.00%
63303,1.18%,23.20%,14.30%,1.65%,0.0071,3.38%,0.00%
63400,5.31%,45.30%,25.30%,1.96%,0.0117,4.33%,0.00%
70101,0.96%,35.80%,23.20%,1.89%,0,2.82%,0.00%
70102,3.09%,34.60%,28.20%,3.08%,0.0048,7.35%,1.47%
70103,2.66%,32.70%,20.60%,0.73%,0,3.47%,1.13%
70200,0.73%,38.10%,34.10%,2.67%,0.0028,3.99%,0.00%
70300,1.27%,43.40%,25.60%,1.84%,0.0025,4.07%,0.41%
70400,0.28%,30.50%,21.10%,4.78%,0.0196,4.21%,0.72%
70500,0.60%,33.70%,26.40%,5.47%,0.003,5.93%,0.90%
70600,0.00%,40.60%,32.20%,0.28%,0.0048,5.21%,0.32%
70700,1.87%,40.10%,27.70%,6.16%,0.0094,6.63%,1.27%
71000,1.06%,27.40%,9.67%,0.59%,0.0019,2.70%,0.00%
71100,0.96%,34.70%,17.90%,0.68%,0,1.65%,0.00%
71200,4.25%,40.30%,19.40%,1.54%,0.0068,4.80%,0.00%
71300,2.22%,38.60%,27.80%,0.75%,0,1.98%,0.03%
71400,0.88%,34.00%,29.90%,3.57%,0.0014,4.24%,0.79%
71500,0.31%,49.60%,28.20%,1.87%,0,4.40%,0.26%
71600,0.92%,30.90%,32.50%,3.09%,0,3.48%,1.39%
71700,1.13%,33.90%,28.20%,3.93%,0,6.87%,0.00%
71800,0.00%,45.40%,26.00%,5.90%,0.0139,3.63%,1.06%
80100,1.72%,31.60%,29.30%,0.00%,0,4.98%,1.11%
80201,3.02%,30.30%,24.20%,4.36%,0,7.03%,0.00%
80202,1.47%,34.00%,35.60%,0.54%,0,1.95%,0.67%
80300,2.42%,40.30%,39.00%,1.35%,0.0037,5.70%,0.00%
80400,8.66%,24.70%,12.70%,9.38%,0.033,11.10%,4.28%
81000,1.98%,22.60%,16.60%,4.30%,0.0028,10.50%,1.92%
81100,5.79%,39.10%,20.10%,2.02%,0.0117,9.28%,2.19%
81201,1.61%,25.00%,21.00%,2.41%,0,6.30%,0.00%
81202,3.49%,25.10%,23.20%,2.23%,0,5.06%,0.61%
81300,2.96%,19.10%,27.40%,1.57%,0.0026,2.66%,0.00%
81401,2.08%,18.00%,29.10%,2.69%,0,6.59%,0.00%
81402,3.83%,30.60%,34.60%,0.00%,0,6.83%,0.41%
81403,2.26%,33.80%,38.10%,5.12%,0,2.45%,0.00%
81500,0.45%,36.90%,32.60%,4.50%,0,3.11%,0.00%
81600,1.46%,35.30%,35.10%,1.57%,0,5.27%,0.41%
81700,0.99%,42.20%,36.30%,1.78%,0.0048,5.03%,0.74%
81800,1.76%,50.10%,32.00%,2.49%,0,4.64%,0.00%
81900,4.61%,35.90%,19.70%,13.40%,0.0053,10.50%,1.84%
90100,4.61%,25.30%,11.00%,12.30%,0.015,14.70%,2.83%
90200,6.26%,21.80%,18.90%,13.70%,0.007,13.20%,0.43%
90300,3.06%,27.60%,15.30%,11.10%,0,16.40%,0.46%
100100,5.42%,21.40%,9.27%,14.20%,0.0315,14.60%,0.97%
100200,6.11%,17.80%,8.88%,16.30%,0.0121,17.90%,3.07%
100300,8.58%,17.30%,8.72%,10.80%,0.0092,12.10%,1.31%
100400,8.96%,23.20%,11.70%,10.50%,0.0171,18.40%,0.90%
100500,7.20%,19.30%,11.80%,12.80%,0.0114,10.80%,2.41%
100600,6.65%,21.10%,8.12%,17.10%,0.0151,15.30%,1.82%
100700,8.71%,21.00%,10.20%,16.90%,0.0087,14.40%,0.81%
110100,3.70%,19.60%,10.80%,11.10%,0.0268,18.00%,3.50%
110200,8.46%,17.00%,12.60%,15.70%,0.0181,10.10%,0.08%
110300,5.36%,16.00%,5.64%,17.30%,0.0389,19.70%,2.44%
110400,10.10%,16.80%,10.70%,15.90%,0.0311,10.00%,3.03%
110501,5.68%,21.40%,11.90%,14.40%,0.0235,15.60%,4.80%
110502,7.90%,22.10%,9.22%,18.50%,0.0091,15.00%,3.62%
120100,0.94%,30.00%,19.60%,6.89%,0.0035,11.30%,0.28%
120200,3.48%,22.00%,20.80%,9.27%,0.0125,7.23%,0.54%
120300,3.43%,31.40%,17.90%,8.13%,0.0087,7.20%,0.78%
120400,5.89%,18.70%,12.90%,11.90%,0.0343,17.50%,3.90%
130100,0.61%,15.90%,8.58%,8.20%,0.0126,8.69%,1.39%
130200,3.86%,30.80%,14.10%,7.63%,0.0208,12.00%,2.00%
130300,3.00%,20.50%,9.26%,12.80%,0.0662,13.40%,5.03%
140100,4.41%,15.90%,6.49%,13.60%,0.1652,11.60%,6.83%
140200,3.78%,12.30%,7.60%,14.60%,0.111,8.51%,2.88%
140301,2.33%,15.00%,6.29%,15.30%,0.1543,11.50%,9.24%
140302,5.88%,18.30%,15.70%,14.20%,0.0619,8.97%,2.05%
140400,7.73%,14.90%,9.38%,20.00%,0.0489,11.10%,3.85%
140500,4.88%,17.70%,7.97%,19.60%,0.0694,11.90%,2.93%
140601,3.27%,10.50%,3.90%,20.50%,0.1603,14.20%,4.72%
140602,3.43%,14.60%,4.86%,22.60%,0.0772,12.20%,5.91%
140701,4.48%,19.30%,10.10%,20.60%,0.1335,13.00%,3.56%
