tract,community_name,poverty_rate,home_value,home_change,total_crimes,crimes_per_1000,pop_12_17,pop_change,median_income,unemployment,assoc_degree_or_higher
670400,WEST ENGLEWOOD,48.10%,"$124,500 ",18%,276,164.3,1680,-26%,26289,29%,9.58%
670200,WEST ENGLEWOOD,49.20%,"$117,400 ",37%,305,320,953,-53%,22625,23%,7.58%
670100,WEST ENGLEWOOD,40.60%,"$144,700 ",40%,301,281.6,1069,-47%,35000,28%,13.94%
660900,CHICAGO LAWN,43.00%,"$116,200 ",-20%,814,175.2,4647,-15%,29125,33%,12.76%
660800,CHICAGO LAWN,31.90%,"$133,200 ",-3%,594,116.3,5109,-23%,37690,16%,9.53%
660700,CHICAGO LAWN,42.10%,"$88,900 ",-22%,376,184.2,2041,-23%,27344,30%,8.89%
660600,CHICAGO LAWN,35.50%,"$122,400 ",1%,908,154.3,5883,-22%,27426,27%,8.44%
660301,CHICAGO LAWN,48.00%,"$130,000 ",-12%,218,141.8,1537,-32%,22057,32%,5.92%
611900,NEW CITY,41.70%,"$151,100 ",66%,337,187.4,1798,-31%,25231,18%,5.01%
611800,NEW CITY,52.00%,"$115,200 ",7%,261,112.7,2316,-10%,31138,27%,7.91%
611700,NEW CITY,33.90%,"$164,300 ",63%,267,179.2,1490,-47%,25074,23%,6.43%
611600,NEW CITY,37.00%,"$116,400 ",11%,155,102.7,1509,-29%,36014,22%,4.32%
611200,NEW CITY,35.30%,"$120,800 ",16%,269,105.7,2545,-25%,27697,15%,3.08%
611100,NEW CITY,45.60%,"$109,000 ",8%,219,94.9,2307,-34%,24972,22%,4.52%
611000,NEW CITY,45.90%,"$107,800 ",15%,165,179.7,918,-32%,20813,19%,8.02%
540101,RIVERDALE,69.20%,"$84,200 ",9%,827,213.1,3881,-33%,12660,38%,8.04%
530502,WEST PULLMAN,31.40%,"$141,800 ",21%,187,131.8,1419,-29%,41696,24%,18.58%
530200,WEST PULLMAN,45.90%,"$116,100 ",14%,784,182.5,4296,-39%,29539,30%,12.57%
520200,EAST SIDE,39.20%,"$104,500 ",-12%,251,70.3,3572,-17%,36228,23%,8.03%
500300,PULLMAN,16.50%,"$141,100 ",15%,291,205.4,1417,-28%,41587,16%,34.94%
500200,PULLMAN,30.90%,"$98,800 ",-16%,504,238.5,2113,-10%,34038,29%,22.04%
500100,PULLMAN,23.00%,"$136,200 ",18%,418,135.6,3083,-33%,41570,10%,23.40%
491400,ROSELAND,41.50%,"$96,800 ",-27%,711,220.7,3221,-15%,28774,30%,13.62%
491300,ROSELAND,55.70%,"$85,300 ",-19%,551,223.5,2465,-36%,25912,34%,13.01%
490901,ROSELAND,25.80%,"$147,500 ",14%,533,141.5,3768,-22%,39750,26%,15.68%
470100,BURNSIDE,35.70%,"$122,100 ",12%,401,177.9,2254,-31%,24821,22%,11.74%
460500,SOUTH CHICAGO,16.30%,"$143,300 ",2%,769,159.7,4816,-31%,37168,13%,19.74%
460400,SOUTH CHICAGO,19.20%,"$175,800 ",35%,577,166.9,3458,-18%,39151,13%,18.61%
460302,SOUTH CHICAGO,41.60%,"$113,400 ",-3%,575,165.8,3468,-23%,23345,31%,14.92%
460301,SOUTH CHICAGO,28.30%,"$101,400 ",-13%,383,131.3,2917,-33%,36182,18%,12.90%
460200,SOUTH CHICAGO,42.40%,"$139,700 ",30%,279,104.2,2678,-21%,27925,17%,13.75%
460100,SOUTH CHICAGO,28.10%,"$99,600 ",-9%,535,170.8,3133,-34%,31094,29%,19.30%
440201,CHATHAM,31.50%,"$161,000 ",-8%,893,185.8,4805,-16%,32143,21%,20.85%
431302,SOUTH SHORE,35.40%,"$122,100 ",-7%,929,223.3,4161,-16%,19756,26%,14.30%
431301,SOUTH SHORE,35.50%,"$116,600 ",-12%,786,236.8,3319,-31%,20625,31%,17.59%
430900,SOUTH SHORE,38.50%,"$172,700 ",14%,204,150.4,1356,-28%,34286,15%,24.98%
430600,SOUTH SHORE,28.30%,"$208,900 ",-16%,300,173.2,1732,-11%,23300,15%,22.89%
430400,SOUTH SHORE,51.60%,"$149,100 ",9%,563,191.9,2934,-15%,15469,20%,19.82%
430300,SOUTH SHORE,45.90%,"$123,500 ",-26%,471,197,2391,-18%,15902,26%,19.66%
430200,SOUTH SHORE,36.80%,"$237,500 ",-29%,900,185,4866,-9%,22419,16%,21.11%
430101,SOUTH SHORE,30.70%,"$273,300 ",43%,732,213.3,3431,-29%,32292,21%,17.18%
420800,WOODLAWN,40.70%,"$220,600 ",22%,466,224.4,2077,-19%,35476,13%,27.91%
420700,WOODLAWN,50.90%,"�$115,000",2%,750,229.4,3269,-27%,19042,34%,16.84%
420600,WOODLAWN,66.40%,"$115,000 ",-15%,470,233,2017,-34%,19801,27%,14.56%
420500,WOODLAWN,45.90%,"$199,400 ",37%,284,166.7,1704,-49%,25781,28%,27.18%
400800,WASHINGTON PARK,56.30%,"$69,000 ",-44%,556,195.3,2847,-19%,20959,14%,15.59%
400500,WASHINGTON PARK,55.20%,"$166,300 ",5%,391,196.9,1986,-21%,24907,27%,15.66%
400400,WASHINGTON PARK,39.70%,"$106,300 ",-56%,368,195.1,1886,-1%,32310,29%,18.28%
400300,WASHINGTON PARK,39.90%,"$188,200 ",34%,496,368.2,1347,-18%,29417,23%,20.32%
390300,KENWOOD,39.60%,"$231,300 ",1%,357,126.1,2830,3%,21769,21%,33.60%
381400,GRAND BOULEVARD,34.80%,"$168,800 ",-22%,369,222.3,1660,23%,38167,14%,30.00%
380500,GRAND BOULEVARD,49.00%,N/A,N/A,68,85,800,-33%,19358,29%,10.18%
380100,GRAND BOULEVARD,42.00%,"$243,800 ",57%,228,118,1932,42%,19328,23%,22.74%
351500,DOUGLAS,31.10%,"$241,700 ",-69%,99,195.3,507,-77%,23700,21%,26.91%
351400,DOUGLAS,60.90%,"$224,200 ",51%,318,164,1939,38%,13149,41%,20.10%
351100,DOUGLAS,74.20%,N/A,N/A,179,85.2,2102,-56%,10825,32%,15.39%
350100,DOUGLAS,30.30%,N/A,N/A,144,64.3,2239,-3%,43548,8%,58.96%
340600,ARMOUR SQUARE,62.80%,N/A,N/A,268,269.3,995,-24%,11622,45%,6.85%
301200,SOUTH LAWNDALE,34.70%,"$162,800 ",-7%,232,67.5,3435,-31%,26076,14%,10.49%
292500,NORTH LAWNDALE,36.90%,"$159,000 ",22%,648,159.2,4070,-27%,40324,20%,14.69%
292200,NORTH LAWNDALE,45.40%,"$163,700 ",19%,568,194.4,2922,-9%,31902,27%,15.95%
291200,NORTH LAWNDALE,43.10%,"$144,700 ",-21%,610,229,2664,-13%,24650,28%,12.31%
290900,NORTH LAWNDALE,48.80%,"$153,900 ",32%,964,236.5,4076,-12%,24071,33%,6.82%
280900,NEAR WEST SIDE,46.70%,"$265,200 ",64%,176,173.6,1014,-18%,19485,30%,21.91%
280400,NEAR WEST SIDE,52.30%,"$223,800 ",-2%,320,186.6,1715,18%,35275,16%,23.50%
271800,EAST GARFIELD PARK,63.10%,"$156,300 ",45%,277,353.8,783,-36%,16477,17%,8.49%
271300,EAST GARFIELD PARK,48.40%,"$170,800 ",39%,414,328.3,1261,2%,24878,18%,13.33%
271200,EAST GARFIELD PARK,47.90%,"$113,900 ",-22%,428,352.6,1214,-8%,26098,18%,11.42%
270500,EAST GARFIELD PARK,58.60%,"$183,100 ",-4%,651,385.2,1690,26%,16103,23%,10.25%
260600,WEST GARFIELD PARK,51.50%,"$213,400 ",27%,538,270.5,1989,-41%,20882,32%,2.86%
260200,WEST GARFIELD PARK,46.20%,"$193,800 ",67%,727,594.4,1223,-16%,33750,20%,9.84%
251900,AUSTIN,46.70%,"$114,100 ",-31%,1081,222.3,4862,-35%,20092,29%,13.56%
251800,AUSTIN,35.80%,"$176,900 ",11%,1265,239.8,5275,-17%,23295,19%,8.86%
251500,AUSTIN,35.10%,"$166,000 ",7%,811,193.4,4194,-23%,21567,24%,11.43%
251300,AUSTIN,28.70%,"$146,600 ",-1%,598,134.5,4446,-29%,29255,21%,10.55%
231500,HUMBOLDT PARK,37.70%,"$166,800 ",27%,1963,293,6699,-12%,28013,14%,7.62%
231200,HUMBOLDT PARK,39.00%,"$134,800 ",-5%,1724,280.9,6138,-18%,29120,13%,12.48%
230600,HUMBOLDT PARK,38.00%,"$179,500 ",6%,1012,153.2,6606,-13%,34716,21%,13.29%
