geoid,name,,,In Labor Force,,Civilian Labor Force,,Employed,,unemployed,,Armed Forces,,Not in Labor Force
14000US39007000900,"Census Tract 9, Ashtabula, OH",,,2256,,2256,,2122,,134,,0,,1728
14000US39007001001,"Census Tract 10.01, Ashtabula, OH",,,2559,,2559,,2301,,258,,0,,1724
14000US39007001002,"Census Tract 10.02, Ashtabula, OH",,,1782,,1782,,1715,,67,,0,,1008
14000US39007001101,"Census Tract 11.01, Ashtabula, OH",,,870,,870,,805,,65,,0,,675
14000US39007001102,"Census Tract 11.02, Ashtabula, OH",,,2733,,2733,,2564,,169,,0,,1849
14000US39007001200,"Census Tract 12, Ashtabula, OH",,,3238,,3182,,2975,,207,,56,,2674
14000US39007001301,"Census Tract 13.01, Ashtabula, OH",,,1558,,1558,,1448,,110,,0,,1054
14000US39007001302,"Census Tract 13.02, Ashtabula, OH",,,1737,,1737,,1648,,89,,0,,1746
14000US39007001400,"Census Tract 14, Ashtabula, OH",,,3393,,3393,,3284,,109,,0,,2587
14000US39007990000,"Census Tract 9900, Ashtabula, OH",,,0,,0,,0,,0,,0,,0
14000US39009972600,"Census Tract 9726, Athens, OH",,,1520,,1518,,1423,,95,,2,,1853
14000US39009972700,"Census Tract 9727, Athens, OH",,,2019,,2019,,1745,,274,,0,,1353
14000US39009972800,"Census Tract 9728, Athens, OH",,,1875,,1875,,1717,,158,,0,,2161
14000US39009972900,"Census Tract 9729, Athens, OH",,,2596,,2596,,2506,,90,,0,,2075
14000US39009973000,"Census Tract 9730, Athens, OH",,,2368,,2368,,2297,,71,,0,,943
14000US39009973101,"Census Tract 9731.01, Athens, OH",,,2232,,2232,,1903,,329,,0,,2245
14000US39009973200,"Census Tract 9732, Athens, OH",,,2401,,2401,,2249,,152,,0,,1995
14000US39009973300,"Census Tract 9733, Athens, OH",,,1801,,1794,,1724,,70,,7,,1269
14000US39009973400,"Census Tract 9734, Athens, OH",,,1295,,1295,,1136,,159,,0,,1362
14000US39009973500,"Census Tract 9735, Athens, OH",,,1685,,1676,,1613,,63,,9,,1303
14000US39009973600,"Census Tract 9736, Athens, OH",,,1757,,1757,,1655,,102,,0,,1556
14000US39009973700,"Census Tract 9737, Athens, OH",,,2020,,2020,,1883,,137,,0,,1255
14000US39009973800,"Census Tract 9738, Athens, OH",,,2223,,2223,,1992,,231,,0,,1993
14000US39009973901,"Census Tract 9739.01, Athens, OH",,,2458,,2458,,1940,,518,,0,,4143
14000US39009973902,"Census Tract 9739.02, Athens, OH",,,1815,,1815,,1651,,164,,0,,1462
14000US39011040100,"Census Tract 401, Auglaize, OH",,,2070,,2070,,1976,,94,,0,,1136
14000US39011040200,"Census Tract 402, Auglaize, OH",,,2167,,2167,,2062,,105,,0,,1348
14000US39011040300,"Census Tract 403, Auglaize, OH",,,1658,,1658,,1533,,125,,0,,996
14000US39011040400,"Census Tract 404, Auglaize, OH",,,3620,,3620,,3541,,79,,0,,1613
14000US39011040500,"Census Tract 405, Auglaize, OH",,,2612,,2612,,2546,,66,,0,,1391
14000US39011040600,"Census Tract 406, Auglaize, OH",,,1858,,1858,,1769,,89,,0,,864
14000US39011040900,"Census Tract 409, Auglaize, OH",,,2103,,2103,,2066,,37,,0,,786
14000US39011041000,"Census Tract 410, Auglaize, OH",,,2040,,2040,,2018,,22,,0,,788
14000US39011041100,"Census Tract 411, Auglaize, OH",,,2370,,2370,,2258,,112,,0,,885
14000US39011041201,"Census Tract 412.01, Auglaize, OH",,,823,,823,,792,,31,,0,,698
14000US39011041202,"Census Tract 412.02, Auglaize, OH",,,2733,,2733,,2668,,65,,0,,1341
14000US39013010100,"Census Tract 101, Belmont, OH",,,1914,,1914,,1648,,266,,0,,1592
14000US39013010200,"Census Tract 102, Belmont, OH",,,1796,,1796,,1711,,85,,0,,1223
14000US39013010300,"Census Tract 103, Belmont, OH",,,1667,,1667,,1584,,83,,0,,1274
14000US39013010600,"Census Tract 106, Belmont, OH",,,1830,,1829,,1771,,58,,1,,1097
14000US39013010700,"Census Tract 107, Belmont, OH",,,1161,,1161,,1096,,65,,0,,753
14000US39013010802,"Census Tract 108.02, Belmont, OH",,,1056,,1056,,1010,,46,,0,,707
14000US39013010900,"Census Tract 109, Belmont, OH",,,3117,,3117,,2956,,161,,0,,2200
14000US39013011000,"Census Tract 110, Belmont, OH",,,1894,,1894,,1802,,92,,0,,2141
14000US39013011200,"Census Tract 112, Belmont, OH",,,1704,,1704,,1612,,92,,0,,1160
14000US39013011300,"Census Tract 113, Belmont, OH",,,1962,,1962,,1800,,162,,0,,1368
14000US39013011400,"Census Tract 114, Belmont, OH",,,1952,,1952,,1843,,109,,0,,1785
14000US39013011500,"Census Tract 115, Belmont, OH",,,662,,662,,599,,63,,0,,633
14000US39013011600,"Census Tract 116, Belmont, OH",,,633,,633,,555,,78,,0,,495
14000US39013011700,"Census Tract 117, Belmont, OH",,,558,,546,,488,,58,,12,,295
14000US39013011900,"Census Tract 119, Belmont, OH",,,1690,,1690,,1638,,52,,0,,983
14000US39013012000,"Census Tract 120, Belmont, OH",,,1199,,1199,,1045,,154,,0,,817
14000US39013012100,"Census Tract 121, Belmont, OH",,,586,,586,,488,,98,,0,,529
14000US39013012200,"Census Tract 122, Belmont, OH",,,1691,,1682,,1607,,75,,9,,3856
14000US39013012300,"Census Tract 123, Belmont, OH",,,2112,,2112,,1893,,219,,0,,1418
