,Associate's degree,Bachelor's degree,Graduate or professional degree,High school diploma or GED,Less than 9th grade,Some college,Some high school
283200,1.59%,23.6%,26.3%,7.72%,0.0036,2.55%,1.45%
283800,3.92%,26.6%,19.0%,11.9%,0.0121,11.4%,6.55%
290900,2.88%,3.44%,0.5%,24.3%,0.020399999999999998,21.5%,9.61%
291200,2.23%,7.91%,2.17%,21.3%,0.0,19.3%,9.05%
291600,0.0%,6.27%,7.16%,19.1%,0.08449999999999999,21.1%,3.45%
292200,4.66%,8.91%,2.38%,24.6%,0.007,17.2%,8.86%
292400,2.38%,4.38%,2.7%,20.2%,0.0211,19.5%,14.2%
292500,4.6%,6.93%,3.16%,12.1%,0.019,19.9%,18.4%
300500,3.03%,7.14%,2.38%,15.5%,0.2803,8.78%,9.28%
300600,4.65%,8.88%,1.81%,14.4%,0.1027,13.6%,14.4%
300700,3.61%,5.03%,3.59%,15.7%,0.2946,5.31%,13.1%
300800,0.0%,3.12%,2.21%,16.8%,0.24319999999999997,6.38%,18.1%
300900,4.68%,3.86%,0.19%,18.1%,0.2971,7.41%,14.0%
301100,4.43%,6.87%,2.73%,20.1%,0.2173,5.69%,12.5%
301200,2.55%,6.39%,1.55%,24.8%,0.17559999999999998,11.4%,13.4%
301600,2.6%,5.75%,0.66%,18.4%,0.23519999999999996,11.7%,11.5%
301701,4.16%,5.11%,1.73%,22.8%,0.2042,11.0%,9.7%
301702,1.07%,4.74%,0.58%,26.2%,0.22460000000000002,8.56%,12.1%
301801,3.51%,4.22%,1.8%,27.4%,0.1844,4.37%,15.2%
301802,4.07%,5.67%,0.51%,26.2%,0.22949999999999998,5.89%,11.1%
301803,2.25%,1.93%,1.9%,27.9%,0.2737,5.58%,7.0%
310200,5.11%,29.7%,15.5%,12.2%,0.0091,12.6%,4.13%
310300,3.94%,20.6%,15.8%,10.5%,0.0465,11.1%,8.38%
310400,6.12%,21.8%,17.9%,8.09%,0.1136,4.05%,3.39%
310500,3.96%,13.9%,8.01%,19.0%,0.0732,12.9%,6.87%
310600,2.71%,19.6%,9.2%,16.0%,0.1175,6.93%,6.64%
310700,3.18%,11.5%,4.61%,18.8%,0.088,11.4%,10.4%
310800,6.76%,12.2%,3.67%,11.5%,0.126,13.0%,10.8%
310900,2.92%,14.7%,4.16%,13.5%,0.1283,11.6%,9.3%
320100,2.33%,33.6%,31.5%,1.31%,0.0,5.75%,0.38%
320400,0.64%,9.61%,14.2%,0.73%,0.0,1.57%,0.19%
320600,1.8%,29.6%,38.0%,1.98%,0.0047,9.99%,0.0%
330100,2.26%,30.4%,36.1%,4.39%,0.0025,12.0%,0.84%
330200,2.2%,26.3%,26.0%,5.61%,0.0133,7.11%,2.76%
340300,1.99%,8.77%,3.5%,22.0%,0.0556,10.4%,6.44%
340400,1.25%,13.3%,8.12%,27.6%,0.093,3.61%,6.21%
340500,2.73%,11.6%,10.6%,10.6%,0.0315,12.7%,2.94%
340600,2.59%,2.59%,1.67%,11.4%,0.07,14.3%,14.8%
350100,5.36%,28.7%,24.9%,2.14%,0.0,14.4%,0.0%
350400,6.14%,2.57%,1.19%,28.3%,0.031100000000000003,18.4%,13.7%
351000,7.89%,21.6%,18.6%,11.1%,0.0069,14.7%,0.0%
351100,3.57%,7.23%,4.59%,15.1%,0.0155,25.8%,13.4%
351400,4.66%,11.0%,4.44%,28.3%,0.0,15.9%,11.5%
351500,4.44%,8.87%,13.6%,16.4%,0.0,12.4%,2.34%
360200,0.92%,7.71%,1.12%,19.2%,0.07189999999999999,22.7%,8.32%
380100,3.01%,12.7%,7.03%,8.31%,0.0074,21.2%,16.6%
380200,1.27%,11.2%,7.19%,5.63%,0.014000000000000002,10.4%,3.15%
380500,1.96%,7.24%,0.98%,28.2%,0.0098,15.8%,7.44%
380700,2.07%,2.17%,7.44%,24.6%,0.0151,19.6%,4.05%
381200,12.1%,13.9%,17.3%,13.4%,0.0,25.5%,0.21%
381400,13.7%,9.26%,7.04%,13.2%,0.0,23.1%,8.67%
381500,9.56%,17.1%,0.0%,24.3%,0.0239,27.9%,0.0%
381800,4.43%,11.5%,10.7%,18.3%,0.0148,22.0%,5.91%
381900,2.85%,16.1%,7.68%,14.4%,0.0177,22.9%,6.19%
390100,6.22%,17.3%,23.3%,8.76%,0.0075,14.7%,7.82%
390200,4.37%,21.8%,25.3%,8.29%,0.0,16.8%,3.24%
390300,3.6%,18.4%,11.6%,10.1%,0.0,23.1%,6.0%
390400,3.45%,13.9%,12.5%,13.4%,0.0202,18.9%,5.61%
390500,4.41%,20.7%,28.1%,6.83%,0.0058,11.6%,0.92%
390600,7.7%,16.7%,37.7%,3.64%,0.0,5.6%,0.84%
390700,5.11%,17.4%,22.5%,4.83%,0.0044,6.95%,0.18%
400300,9.11%,7.11%,4.1%,22.6%,0.0499,28.4%,8.1%
400400,1.5%,11.0%,5.78%,21.7%,0.0053,20.1%,10.6%
400500,3.77%,8.04%,3.85%,16.7%,0.023700000000000002,24.3%,14.9%
400800,4.32%,10.4%,0.87%,28.8%,0.030600000000000002,17.8%,11.5%
410100,3.09%,20.2%,26.7%,7.66%,0.0132,7.07%,2.43%
410200,2.49%,13.6%,30.5%,3.07%,0.0,8.33%,0.0%
410500,2.41%,14.8%,28.3%,3.11%,0.0,7.29%,1.39%
410600,0.49%,14.8%,20.5%,6.88%,0.0,4.43%,2.08%
410700,1.51%,16.6%,30.9%,4.68%,0.0,6.64%,1.23%
410800,2.18%,15.7%,28.8%,8.56%,0.0,9.01%,0.44%
410900,2.09%,21.8%,29.7%,4.32%,0.0031,5.86%,2.67%
411000,2.16%,17.3%,26.3%,0.46%,0.0003,8.96%,1.2%
411100,0.33%,12.0%,40.1%,0.49%,0.0,1.46%,0.43%
411200,0.58%,12.0%,49.5%,0.51%,0.0072,2.97%,1.6%
420100,8.99%,6.17%,7.39%,16.1%,0.0065,23.3%,4.96%
420200,4.02%,19.0%,15.7%,8.95%,0.0159,11.9%,6.27%
420300,2.48%,10.7%,9.72%,3.57%,0.0,6.51%,0.84%
420400,4.05%,12.1%,22.2%,9.42%,0.0,10.1%,6.27%
420500,12.1%,10.6%,4.48%,12.1%,0.0155,16.0%,5.49%
420600,4.69%,7.07%,2.8%,18.0%,0.0147,23.3%,4.62%
420700,8.36%,4.44%,4.04%,16.6%,0.0008,16.4%,11.9%
420800,9.19%,11.0%,7.72%,15.0%,0.0,23.1%,5.47%
421200,10.4%,8.01%,3.53%,21.9%,0.0124,19.0%,4.49%
430101,6.53%,7.36%,3.29%,17.2%,0.019200000000000002,32.8%,5.25%
430102,8.63%,13.6%,8.87%,14.6%,0.0047,22.0%,4.26%
430200,4.35%,6.66%,10.1%,14.1%,0.0196,22.9%,4.24%
430300,3.55%,11.6%,4.51%,29.1%,0.0,24.6%,5.33%
430400,4.97%,8.41%,6.44%,18.9%,0.0158,23.5%,6.3%
430500,7.42%,4.28%,4.76%,20.7%,0.0288,21.0%,6.38%
430600,5.57%,12.3%,5.02%,16.5%,0.0,17.9%,0.46%
430700,7.06%,12.9%,6.16%,18.9%,0.0115,24.4%,7.26%
430800,11.9%,20.0%,10.6%,15.0%,0.0,20.8%,0.0%
430900,7.47%,12.4%,5.11%,11.4%,0.0009,26.9%,3.02%
431200,1.84%,17.7%,5.68%,12.6%,0.0033,16.9%,5.76%
431301,3.76%,9.57%,4.26%,18.9%,0.009899999999999999,24.4%,7.89%
431302,3.9%,7.72%,2.68%,23.4%,0.0303,20.5%,4.62%
431400,6.27%,9.21%,7.21%,21.2%,0.0188,23.4%,4.06%
440101,7.74%,1.83%,1.29%,26.0%,0.0261,23.2%,13.2%
440102,0.81%,8.01%,7.29%,21.5%,0.0138,24.8%,7.08%
440201,6.66%,5.74%,8.45%,15.9%,0.0087,19.6%,5.91%
440202,5.66%,21.9%,4.46%,9.87%,0.0028,19.7%,2.64%
440300,7.8%,14.2%,7.9%,13.1%,0.0035,19.4%,3.53%
440600,6.51%,6.75%,12.0%,13.7%,0.0105,22.3%,0.62%
440700,7.62%,15.5%,8.61%,20.6%,0.0,14.2%,3.86%
440800,5.9%,6.31%,1.64%,25.7%,0.0049,23.5%,11.2%
440900,8.25%,10.2%,10.9%,19.1%,0.025,10.7%,8.47%
450300,3.41%,11.7%,2.6%,14.0%,0.025300000000000003,19.9%,6.99%
460100,4.32%,9.64%,5.34%,23.9%,0.0187,16.7%,6.13%
460200,5.35%,5.5%,2.9%,26.6%,0.0576,14.6%,15.1%
460301,5.72%,4.98%,2.2%,20.2%,0.0733,15.0%,9.59%
460302,5.56%,8.95%,0.41%,20.6%,0.0053,21.3%,8.95%
460400,3.11%,12.2%,3.3%,21.0%,0.0,18.6%,4.42%
460500,5.08%,5.45%,9.21%,13.2%,0.0024,20.4%,3.12%
460600,4.21%,8.06%,2.72%,23.4%,0.045899999999999996,23.0%,2.97%
460700,5.95%,4.95%,0.3%,21.9%,0.09759999999999999,12.6%,5.95%
461000,1.95%,4.87%,0.98%,13.7%,0.0544,10.2%,3.58%
470100,4.31%,2.86%,4.57%,21.2%,0.0182,15.4%,5.87%
480100,6.07%,11.2%,4.67%,13.3%,0.0156,20.4%,1.98%
480200,7.11%,14.7%,6.09%,7.52%,0.0,22.3%,4.77%
480300,2.19%,15.7%,7.45%,12.7%,0.001,17.1%,2.78%
480400,6.3%,12.4%,5.74%,15.7%,0.0679,16.8%,0.73%
480500,4.46%,9.25%,2.32%,24.0%,0.0294,16.1%,3.86%
490300,11.8%,13.8%,6.28%,11.2%,0.0343,14.1%,2.23%
490400,2.02%,14.3%,4.71%,16.3%,0.0,19.9%,2.69%
490500,4.37%,13.0%,8.93%,8.5%,0.0049,20.4%,3.58%
490600,2.65%,5.61%,3.06%,17.2%,0.0537,19.2%,6.94%
490700,4.91%,6.89%,3.14%,18.1%,0.0047,25.1%,8.75%
490800,9.13%,9.11%,4.17%,7.36%,0.0131,29.3%,5.79%
490901,5.67%,6.89%,3.12%,20.8%,0.012400000000000001,26.5%,3.83%
490902,8.44%,9.47%,3.44%,13.3%,0.0056,18.6%,3.68%
491000,7.49%,3.1%,3.48%,15.4%,0.0179,18.7%,13.6%
491100,3.61%,11.0%,5.98%,16.3%,0.0202,21.2%,2.67%
491200,7.6%,7.08%,6.26%,16.2%,0.0102,23.0%,4.4%
491300,3.82%,6.04%,3.15%,19.5%,0.0149,18.0%,9.58%
491400,3.9%,7.41%,2.31%,22.9%,0.0018,19.7%,8.07%
500100,3.88%,14.0%,5.52%,13.5%,0.022099999999999998,19.4%,3.7%
500200,5.17%,10.7%,6.17%,17.4%,0.018,21.5%,5.77%
500300,2.94%,20.7%,11.3%,16.1%,0.0168,18.3%,3.28%
510100,5.03%,3.63%,1.44%,21.7%,0.0922,19.0%,10.7%
510200,4.95%,6.42%,8.27%,22.0%,0.0521,13.4%,5.94%
510300,6.07%,5.13%,4.14%,19.2%,0.0139,23.2%,3.71%
520100,2.7%,5.13%,1.35%,29.8%,0.1537,1.56%,16.1%
520200,3.93%,2.8%,1.3%,27.2%,0.09190000000000001,15.3%,12.0%
520300,3.85%,6.15%,2.65%,22.4%,0.1161,11.9%,10.5%
520400,1.62%,10.8%,1.62%,23.5%,0.1207,11.1%,7.23%
520500,3.0%,11.9%,3.21%,21.4%,0.094,17.6%,4.88%
520600,6.54%,4.64%,2.4%,26.6%,0.0528,13.5%,8.94%
530100,5.36%,3.8%,0.99%,23.6%,0.1312,9.8%,11.4%
530200,4.27%,6.2%,2.1%,20.0%,0.011300000000000001,19.2%,12.8%
530300,5.64%,8.27%,2.68%,15.4%,0.0124,27.0%,7.78%
530400,3.17%,12.8%,9.23%,16.9%,0.0129,19.4%,3.24%
530501,4.6%,8.18%,4.07%,22.4%,0.0201,17.1%,6.14%
530502,8.61%,7.77%,2.2%,13.3%,0.0236,27.0%,0.84%
530503,4.1%,5.93%,5.85%,17.8%,0.0214,21.2%,5.05%
530600,6.95%,2.9%,2.75%,25.7%,0.0,30.0%,1.95%
540101,3.88%,1.72%,2.44%,20.2%,0.0329,30.2%,10.6%
540102,6.65%,0.95%,0.0%,20.9%,0.014,24.7%,11.8%
550100,6.66%,8.38%,3.78%,29.3%,0.0575,19.7%,3.48%
550200,7.66%,11.6%,5.6%,19.7%,0.0168,16.8%,2.3%
560100,4.47%,9.33%,1.36%,29.9%,0.09649999999999999,6.31%,9.02%
560200,6.39%,7.88%,4.86%,26.2%,0.030899999999999997,12.8%,4.29%
560300,7.22%,10.6%,2.97%,17.5%,0.0996,17.7%,6.01%
560400,3.4%,8.56%,2.08%,19.3%,0.1499,17.2%,8.42%
560700,6.38%,7.91%,2.44%,22.0%,0.08159999999999999,18.5%,8.31%
560800,3.16%,10.9%,5.42%,21.7%,0.052500000000000005,17.9%,4.8%
560900,7.77%,11.6%,6.29%,19.1%,0.0182,17.8%,4.87%
561000,10.3%,13.5%,10.4%,11.1%,0.0083,19.6%,2.07%
561100,4.72%,14.5%,7.17%,19.4%,0.0445,17.0%,3.52%
570100,4.08%,8.26%,0.32%,26.2%,0.161,17.7%,7.62%
570200,6.07%,6.83%,2.94%,20.4%,0.09399999999999999,16.0%,9.72%
570300,1.84%,8.13%,2.18%,24.6%,0.1614,10.7%,5.94%
570400,1.2%,9.11%,1.96%,31.0%,0.0611,6.33%,9.43%
570500,3.89%,5.11%,2.99%,25.2%,0.0907,15.3%,8.76%
580100,4.64%,7.24%,4.45%,25.5%,0.14639999999999997,12.8%,8.07%
580200,4.25%,4.89%,0.63%,23.0%,0.20679999999999998,9.86%,11.6%
580300,4.58%,2.71%,1.63%,18.1%,0.2905,9.01%,9.78%
580400,3.4%,7.23%,3.58%,23.7%,0.12060000000000001,9.11%,10.1%
580501,3.84%,5.59%,1.26%,26.3%,0.24879999999999997,8.4%,4.62%
580502,2.68%,5.22%,3.78%,26.6%,0.1866,10.5%,3.78%
580600,4.82%,8.7%,1.57%,17.9%,0.1628,11.4%,11.1%
580700,3.99%,6.97%,0.71%,21.6%,0.2108,9.28%,7.42%
580800,3.19%,3.78%,1.5%,26.3%,0.26339999999999997,7.68%,10.3%
590500,5.41%,13.1%,7.94%,19.9%,0.037,15.1%,5.68%
590600,4.99%,6.47%,5.05%,21.9%,0.09770000000000001,15.7%,5.55%
590700,6.5%,11.1%,3.94%,19.6%,0.1679,10.8%,6.53%
600400,4.73%,12.7%,4.97%,24.9%,0.1068,9.77%,4.27%
600600,6.12%,7.57%,4.82%,25.0%,0.1185,7.45%,8.99%
600700,7.32%,16.4%,2.15%,21.0%,0.0377,16.8%,7.19%
600900,3.0%,19.3%,6.04%,22.5%,0.0514,10.4%,7.34%
610300,2.26%,5.22%,2.39%,20.4%,0.20750000000000002,12.7%,8.93%
610400,0.85%,6.05%,0.0%,27.5%,0.2946,7.68%,6.6%
610800,5.49%,5.57%,6.44%,34.6%,0.0174,12.4%,3.74%
611000,2.62%,5.4%,0.0%,30.5%,0.038599999999999995,13.3%,3.85%
611100,2.01%,2.2%,0.31%,45.0%,0.0866,7.78%,2.06%
611200,0.58%,1.69%,0.81%,40.2%,0.10980000000000001,7.12%,5.95%
611300,2.46%,2.34%,0.89%,30.5%,0.1618,4.02%,15.8%
611400,2.93%,3.89%,0.09%,30.3%,0.19899999999999998,4.48%,13.6%
611500,1.0%,1.75%,0.44%,44.0%,0.0984,5.5%,3.27%
611600,2.97%,1.35%,0.0%,44.4%,0.06559999999999999,6.11%,9.51%
611700,1.99%,3.87%,0.57%,34.0%,0.11689999999999999,12.4%,5.38%
611800,5.76%,2.15%,0.0%,28.4%,0.17110000000000003,10.0%,10.5%
611900,2.68%,0.69%,1.64%,39.7%,0.0259,9.08%,10.6%
612000,2.7%,3.5%,2.5%,33.3%,0.019,17.4%,5.7%
612100,2.55%,5.22%,2.43%,23.5%,0.0,7.38%,4.12%
620100,6.89%,6.66%,1.97%,30.3%,0.08810000000000001,8.98%,4.8%
620200,8.66%,8.24%,2.31%,30.8%,0.0673,16.3%,8.07%
620300,6.35%,6.86%,0.93%,24.2%,0.0952,11.0%,7.18%
620400,1.07%,3.59%,3.47%,25.5%,0.12190000000000001,16.6%,7.87%
630100,1.11%,2.85%,2.38%,39.9%,0.08720000000000001,9.2%,8.41%
630200,4.58%,3.86%,0.63%,32.4%,0.1288,6.98%,9.64%
630300,4.97%,6.68%,0.41%,30.3%,0.13419999999999999,9.41%,12.0%
630400,1.67%,3.43%,1.83%,22.5%,0.2064,7.56%,12.0%
630500,4.49%,1.88%,0.2%,26.3%,0.2039,6.14%,12.0%
630800,4.4%,3.17%,1.4%,28.1%,0.1998,9.6%,9.49%
630900,5.67%,1.66%,0.03%,29.7%,0.18259999999999998,10.9%,7.45%
640100,10.3%,10.2%,1.69%,26.7%,0.033100000000000004,17.9%,7.83%
640300,8.57%,13.6%,3.8%,25.6%,0.0174,17.8%,1.7%
640400,7.36%,10.4%,4.49%,33.0%,0.013000000000000001,8.67%,7.94%
640500,6.5%,11.6%,6.59%,22.5%,0.0252,18.7%,2.72%
640600,3.93%,7.37%,3.62%,24.4%,0.048299999999999996,18.0%,9.96%
640700,7.84%,10.2%,3.2%,31.9%,0.0643,12.6%,6.27%
640800,6.77%,9.51%,4.18%,26.8%,0.0632,16.1%,3.96%
650100,3.0%,2.25%,1.65%,21.8%,0.2043,9.91%,9.2%
650200,5.74%,7.74%,0.46%,26.8%,0.1518,10.2%,5.45%
650301,5.66%,9.15%,3.04%,27.7%,0.0925,17.2%,6.29%
650302,3.0%,8.29%,2.72%,26.1%,0.1639,9.71%,11.6%
650400,2.84%,5.31%,1.97%,27.2%,0.1555,11.7%,7.58%
650500,5.83%,7.18%,2.49%,21.9%,0.097,18.8%,8.11%
660301,3.1%,2.35%,0.47%,31.6%,0.1337,9.89%,6.41%
660302,4.07%,4.6%,1.24%,27.3%,0.1599,12.2%,11.5%
660400,3.04%,6.17%,0.61%,22.9%,0.20220000000000002,10.0%,7.72%
660500,2.28%,2.95%,1.73%,23.7%,0.15360000000000001,6.62%,10.9%
660600,4.39%,3.74%,0.31%,25.3%,0.0888,16.2%,13.3%
660700,2.35%,2.66%,3.88%,26.8%,0.0303,14.2%,9.74%
660800,3.9%,3.76%,1.87%,23.3%,0.0916,21.5%,8.86%
660900,6.36%,5.98%,0.42%,26.7%,0.012899999999999998,25.7%,7.25%
661000,4.3%,8.02%,4.67%,25.8%,0.0235,13.6%,6.3%
661100,7.08%,2.52%,1.48%,29.6%,0.1052,15.8%,7.92%
670100,8.56%,4.94%,0.44%,21.6%,0.0439,15.0%,5.27%
670200,2.73%,3.03%,1.82%,35.8%,0.0258,15.2%,9.7%
670300,6.25%,2.6%,1.06%,16.9%,0.0649,18.7%,8.38%
670400,3.58%,4.68%,1.32%,26.5%,0.0242,15.6%,8.1%
670500,5.94%,3.08%,0.0%,28.9%,0.0427,18.9%,6.89%
670600,4.94%,3.67%,1.84%,27.0%,0.0103,16.1%,7.0%
670700,2.67%,0.11%,2.55%,36.6%,0.0,23.9%,7.88%
670800,5.92%,2.39%,3.42%,31.7%,0.0893,6.55%,9.04%
670900,3.57%,9.71%,4.98%,24.9%,0.005,20.0%,10.1%
671100,5.08%,5.08%,3.39%,26.3%,0.0,16.6%,16.1%
671200,0.0%,1.89%,0.0%,28.5%,0.0,10.7%,17.9%
671300,2.77%,3.97%,2.08%,27.8%,0.0227,15.1%,14.2%
671400,4.61%,0.89%,0.0%,30.0%,0.0301,13.9%,11.3%
671500,2.42%,3.93%,1.31%,31.4%,0.018099999999999998,15.1%,11.3%
671600,2.88%,0.93%,0.31%,22.9%,0.0159,25.8%,4.47%
671800,3.48%,5.67%,2.83%,23.9%,0.0719,16.9%,4.91%
671900,4.39%,5.64%,1.8%,26.7%,0.042800000000000005,20.7%,6.76%
672000,5.83%,4.02%,2.23%,28.2%,0.0137,12.2%,9.58%
680500,5.19%,4.55%,0.54%,31.9%,0.026,14.4%,9.09%
680600,2.76%,3.81%,2.38%,26.8%,0.0076,9.62%,22.1%
680900,4.02%,6.44%,0.35%,24.7%,0.037099999999999994,19.8%,7.11%
681000,4.07%,4.81%,1.17%,17.4%,0.0494,18.1%,16.3%
681100,2.91%,2.96%,2.27%,22.3%,0.026799999999999997,21.8%,18.6%
681200,5.16%,6.42%,0.0%,26.3%,0.0264,18.3%,11.3%
681300,5.42%,4.4%,3.25%,18.6%,0.0274,17.5%,10.5%
681400,5.69%,1.33%,0.53%,22.8%,0.0058,19.7%,14.4%
690300,5.86%,3.92%,0.0%,13.8%,0.0094,25.6%,7.14%
690400,2.92%,7.87%,3.38%,13.2%,0.026000000000000002,32.5%,8.27%
690500,2.19%,7.24%,6.4%,15.7%,0.0067,22.6%,8.92%
690900,6.01%,10.7%,3.92%,20.7%,0.0234,22.3%,5.74%
691000,7.43%,15.9%,6.45%,17.5%,0.025099999999999997,20.7%,4.63%
691100,7.99%,3.93%,2.56%,26.7%,0.0113,17.4%,9.37%
691200,9.76%,7.25%,2.73%,13.2%,0.0118,28.4%,2.98%
691300,5.92%,6.9%,7.61%,18.7%,0.0169,22.9%,3.42%
691400,6.05%,7.68%,4.58%,24.4%,0.0065,17.2%,7.6%
691500,4.77%,6.07%,1.98%,25.0%,0.0191,19.4%,11.3%
700100,8.54%,7.99%,8.27%,18.9%,0.0325,20.0%,6.23%
700200,5.83%,10.7%,2.67%,22.3%,0.1301,14.2%,5.78%
700301,6.23%,5.68%,2.73%,29.3%,0.09159999999999999,12.2%,8.14%
700302,8.42%,12.4%,3.28%,24.5%,0.021899999999999996,13.1%,4.26%
700401,6.7%,9.83%,6.7%,21.2%,0.029699999999999997,18.2%,4.28%
700402,6.83%,10.4%,7.87%,22.7%,0.0443,13.6%,5.63%
700501,6.42%,14.1%,7.41%,18.1%,0.0227,19.2%,1.7%
700502,7.1%,13.3%,7.22%,7.13%,0.011099999999999999,25.3%,1.57%
710100,8.03%,4.32%,1.85%,19.9%,0.041999999999999996,24.2%,8.39%
710200,5.17%,5.73%,4.19%,22.2%,0.0035,27.5%,6.23%
710300,4.97%,6.52%,3.7%,13.3%,0.0088,29.1%,7.4%
710400,5.18%,3.07%,2.77%,23.6%,0.0183,24.4%,6.57%
710500,5.11%,8.54%,3.64%,24.7%,0.0079,21.3%,7.04%
710600,9.47%,5.71%,2.7%,19.7%,0.0,13.9%,5.4%
710700,6.96%,7.22%,2.45%,23.1%,0.0,21.5%,2.57%
710800,5.61%,12.6%,6.56%,14.2%,0.014000000000000002,19.8%,3.23%
710900,3.26%,10.2%,6.18%,19.6%,0.0312,17.8%,6.45%
711000,1.84%,8.81%,3.99%,19.8%,0.0593,17.0%,13.3%
711100,3.06%,7.56%,5.18%,21.1%,0.0327,21.3%,8.08%
711200,3.94%,8.61%,4.81%,18.1%,0.0072,19.4%,3.23%
711300,7.82%,5.5%,6.0%,16.3%,0.0219,20.7%,8.09%
711400,5.12%,8.15%,3.24%,20.8%,0.0277,14.9%,8.79%
711500,5.08%,4.65%,3.21%,21.8%,0.0335,21.9%,5.38%
720100,4.18%,25.4%,22.4%,7.29%,0.0,9.3%,0.24%
720200,4.39%,16.5%,18.4%,9.17%,0.0062,18.1%,2.66%
720300,5.14%,22.7%,21.0%,7.07%,0.0026,13.6%,0.32%
720400,7.47%,21.5%,15.5%,14.2%,0.0049,17.9%,0.83%
720500,4.03%,30.9%,21.2%,5.99%,0.0069,10.1%,0.69%
720600,5.26%,23.6%,18.2%,9.15%,0.0114,9.91%,0.92%
720700,8.04%,21.9%,15.3%,10.5%,0.0159,17.2%,0.81%
730100,4.11%,14.5%,6.01%,13.2%,0.0052,19.6%,3.65%
730201,5.3%,9.73%,5.13%,19.4%,0.0081,17.4%,2.92%
730202,7.71%,7.36%,3.73%,19.6%,0.0,22.7%,4.65%
730300,3.46%,8.38%,3.46%,22.1%,0.0045,22.0%,4.03%
730400,2.94%,11.7%,7.0%,17.9%,0.0075,21.2%,3.53%
730500,5.65%,8.05%,5.85%,18.1%,0.0,20.4%,3.91%
730600,5.83%,10.5%,7.16%,17.2%,0.009399999999999999,18.2%,3.49%
730700,6.92%,8.9%,6.69%,15.2%,0.0329,20.9%,6.62%
740100,6.93%,14.4%,7.89%,18.7%,0.0063,25.6%,1.77%
740200,3.53%,18.3%,8.01%,14.8%,0.0105,13.9%,1.13%
740300,6.71%,21.1%,13.1%,12.6%,0.0058000000000000005,22.4%,0.5%
740400,7.92%,21.9%,9.29%,17.9%,0.0037,18.1%,1.07%
750100,6.46%,7.15%,5.92%,19.4%,0.009600000000000001,15.7%,3.91%
750200,4.66%,17.0%,25.5%,10.3%,0.0,15.9%,1.21%
750300,4.92%,22.5%,16.8%,11.6%,0.0,9.42%,2.9%
750400,9.18%,19.5%,18.4%,9.82%,0.004,17.7%,0.0%
750500,7.81%,9.19%,8.61%,9.94%,0.0116,15.0%,6.01%
750600,7.28%,7.11%,6.25%,16.1%,0.0126,22.1%,5.54%
760801,6.43%,31.8%,12.8%,14.6%,0.0201,16.7%,1.92%
760802,7.68%,20.2%,5.28%,13.0%,0.0,15.2%,2.31%
760803,8.54%,13.7%,9.56%,17.1%,0.0528,16.8%,5.62%
770500,6.69%,5.95%,0.91%,26.5%,0.1738,10.9%,10.3%
770602,4.7%,9.83%,4.9%,15.9%,0.1615,12.5%,3.87%
770700,6.16%,9.61%,8.47%,20.7%,0.0218,21.2%,2.68%
770800,5.71%,12.5%,3.72%,23.4%,0.036699999999999997,22.2%,4.56%
770902,9.35%,15.4%,5.43%,20.5%,0.008,11.3%,3.82%
810400,3.43%,24.0%,17.8%,12.3%,0.005,12.1%,0.64%
823304,4.15%,12.6%,4.21%,22.5%,0.033,18.6%,4.14%
830500,5.27%,3.54%,0.0%,19.4%,0.2767,9.4%,12.7%
830600,2.67%,25.0%,11.9%,18.0%,0.0969,9.27%,3.81%
830700,4.17%,26.2%,14.1%,12.2%,0.010499999999999999,19.0%,8.46%
830800,2.88%,41.7%,26.0%,7.2%,0.0047,14.2%,0.0%
830900,3.16%,37.5%,20.6%,8.47%,0.0324,8.73%,0.09%
831000,2.28%,41.6%,33.3%,3.79%,0.0076,5.48%,0.0%
831100,4.66%,12.7%,10.8%,12.0%,0.10350000000000001,15.0%,5.29%
831200,5.3%,9.82%,3.66%,19.3%,0.128,8.73%,11.4%
831300,7.71%,6.41%,2.13%,18.9%,0.0759,9.84%,13.6%
831400,5.16%,5.08%,4.83%,24.1%,0.036000000000000004,13.3%,10.6%
831500,4.85%,10.6%,6.92%,21.8%,0.08580000000000002,21.5%,7.44%
831600,6.65%,6.27%,2.66%,20.2%,0.0595,11.9%,7.64%
831700,6.01%,17.1%,10.4%,18.3%,0.0686,13.7%,4.58%
831800,6.35%,20.2%,12.7%,9.27%,0.027299999999999998,11.5%,2.3%
831900,2.32%,47.5%,26.6%,3.63%,0.0146,4.7%,0.04%
832000,3.06%,43.4%,18.2%,3.0%,0.0012,6.54%,1.2%
832100,1.6%,32.5%,16.5%,9.03%,0.0078,9.37%,0.0%
832200,5.03%,32.4%,37.7%,9.82%,0.0203,5.44%,0.49%
832300,3.45%,36.9%,27.8%,9.65%,0.0121,7.58%,0.86%
832400,3.63%,41.0%,17.9%,10.3%,0.018000000000000002,8.07%,2.65%
832500,2.76%,30.4%,18.8%,3.02%,0.0206,4.92%,0.27%
832600,1.01%,41.6%,31.1%,1.01%,0.0073,3.18%,0.57%
832900,0.0%,25.0%,26.1%,0.05%,0.0,3.7%,0.05%
833000,2.68%,46.5%,30.9%,4.19%,0.0116,4.06%,1.53%
833100,1.15%,37.2%,35.0%,5.13%,0.010499999999999999,7.59%,2.59%
833300,0.84%,10.9%,16.2%,3.04%,0.0028,1.42%,0.52%
833900,4.75%,3.49%,1.66%,24.6%,0.10289999999999999,15.0%,8.92%
