geoid,name,B01003001,"B01003001, Error"
14000US17031063400,"Census Tract 634, Cook, IL",2274,212
14000US17031070101,"Census Tract 701.01, Cook, IL",3618,293
14000US17031070102,"Census Tract 701.02, Cook, IL",2879,249
14000US17031070103,"Census Tract 701.03, Cook, IL",1587,155
14000US17031070200,"Census Tract 702, Cook, IL",4084,488
14000US17031070300,"Census Tract 703, Cook, IL",3591,289
14000US17031070400,"Census Tract 704, Cook, IL",3228,230
14000US17031070500,"Census Tract 705, Cook, IL",3229,274
14000US17031070600,"Census Tract 706, Cook, IL",3357,286
14000US17031070700,"Census Tract 707, Cook, IL",4440,418
14000US17031071000,"Census Tract 710, Cook, IL",4437,501
14000US17031071100,"Census Tract 711, Cook, IL",3200,374
14000US17031071200,"Census Tract 712, Cook, IL",1931,195
14000US17031071300,"Census Tract 713, Cook, IL",3747,408
14000US17031071400,"Census Tract 714, Cook, IL",4749,409
14000US17031071500,"Census Tract 715, Cook, IL",5915,319
14000US17031071600,"Census Tract 716, Cook, IL",1709,157
14000US17031071700,"Census Tract 717, Cook, IL",1776,172
14000US17031071800,"Census Tract 718, Cook, IL",2773,255
14000US17031080100,"Census Tract 801, Cook, IL",6666,617
14000US17031080201,"Census Tract 802.01, Cook, IL",3230,274
14000US17031080202,"Census Tract 802.02, Cook, IL",3506,412
14000US17031080300,"Census Tract 803, Cook, IL",4579,378
14000US17031080400,"Census Tract 804, Cook, IL",4229,596
14000US17031081000,"Census Tract 810, Cook, IL",7698,547
14000US17031081100,"Census Tract 811, Cook, IL",4077,329
14000US17031081201,"Census Tract 812.01, Cook, IL",4656,388
14000US17031081202,"Census Tract 812.02, Cook, IL",3021,255
14000US17031081300,"Census Tract 813, Cook, IL",5276,391
14000US17031081401,"Census Tract 814.01, Cook, IL",2386,228
14000US17031081402,"Census Tract 814.02, Cook, IL",5048,538
14000US17031081403,"Census Tract 814.03, Cook, IL",7635,733
14000US17031081500,"Census Tract 815, Cook, IL",4994,434
14000US17031081600,"Census Tract 816, Cook, IL",3937,367
14000US17031081700,"Census Tract 817, Cook, IL",3487,314
14000US17031081800,"Census Tract 818, Cook, IL",8960,684
14000US17031081900,"Census Tract 819, Cook, IL",935,107
14000US17031090100,"Census Tract 901, Cook, IL",3558,160
14000US17031090200,"Census Tract 902, Cook, IL",6803,415
14000US17031090300,"Census Tract 903, Cook, IL",1392,114
14000US17031100100,"Census Tract 1001, Cook, IL",5498,482
14000US17031100200,"Census Tract 1002, Cook, IL",6762,397
14000US17031100300,"Census Tract 1003, Cook, IL",6272,480
14000US17031100400,"Census Tract 1004, Cook, IL",3289,179
14000US17031100500,"Census Tract 1005, Cook, IL",5492,492
14000US17031100600,"Census Tract 1006, Cook, IL",4892,309
